Fecha;ultimo;Apertura;Maximo;Minimo;Vol;varic
4/10/2019;1.300,00;1.305,00;1.310,00;1.300,00;960,30K;-0,38%
7/10/2019;1.310,00;1.300,00;1.310,00;1.300,00;1,11M;0,77%
8/10/2019;1.295,00;1.305,00;1.305,00;1.295,00;2,43M;-1,15%
9/10/2019;1.300,00;1.300,00;1.310,00;1.295,00;475,40K;0,39%
10/10/2019;1.285,00;1.300,00;1.305,00;1.285,00;7,04M;-1,15%
11/10/2019;1.310,00;1.295,00;1.310,00;1.290,00;1,90M;1,95%
15/10/2019;1.285,00;1.295,00;1.305,00;1.285,00;2,42M;-1,91%
16/10/2019;1.290,00;1.290,00;1.305,00;1.290,00;3,55M;0,39%
17/10/2019;1.305,00;1.295,00;1.305,00;1.290,00;2,66M;1,16%
18/10/2019;1.290,00;1.295,00;1.295,00;1.290,00;1,21M;-1,15%
21/10/2019;1.315,00;1.290,00;1.315,00;1.290,00;2,53M;1,94%
22/10/2019;1.330,00;1.310,00;1.330,00;1.305,00;2,63M;1,14%
23/10/2019;1.325,00;1.330,00;1.330,00;1.305,00;4,46M;-0,38%
24/10/2019;1.315,00;1.305,00;1.325,00;1.300,00;24,43M;-0,75%
25/10/2019;1.350,00;1.325,00;1.350,00;1.325,00;6,82M;2,66%
28/10/2019;1.360,00;1.340,00;1.380,00;1.340,00;4,13M;0,74%
29/10/2019;1.380,00;1.355,00;1.385,00;1.355,00;5,47M;1,47%
30/10/2019;1.380,00;1.375,00;1.380,00;1.370,00;1,33M;0,00%
31/10/2019;1.385,00;1.370,00;1.385,00;1.370,00;5,26M;0,36%
1/11/2019;1.420,00;1.375,00;1.440,00;1.375,00;2,71M;2,53%
5/11/2019;1.425,00;1.420,00;1.430,00;1.410,00;6,87M;0,35%
6/11/2019;1.405,00;1.415,00;1.420,00;1.390,00;2,51M;-1,40%
7/11/2019;1.405,00;1.400,00;1.415,00;1.400,00;3,57M;0,00%
8/11/2019;1.410,00;1.380,00;1.410,00;1.380,00;1,70M;0,36%
12/11/2019;1.430,00;1.410,00;1.435,00;1.410,00;6,08M;1,42%
13/11/2019;1.405,00;1.425,00;1.430,00;1.395,00;3,25M;-1,75%
14/11/2019;1.400,00;1.390,00;1.415,00;1.390,00;870,30K;-0,36%
15/11/2019;1.410,00;1.400,00;1.415,00;1.400,00;3,09M;0,71%
18/11/2019;1.385,00;1.390,00;1.410,00;1.385,00;833,30K;-1,77%
19/11/2019;1.385,00;1.390,00;1.415,00;1.385,00;3,30M;0,00%
20/11/2019;1.395,00;1.385,00;1.400,00;1.380,00;811,40K;0,72%
21/11/2019;1.385,00;1.390,00;1.390,00;1.370,00;4,27M;-0,72%
22/11/2019;1.400,00;1.380,00;1.400,00;1.375,00;1,67M;1,08%
25/11/2019;1.380,00;1.380,00;1.390,00;1.365,00;4,41M;-1,43%
26/11/2019;1.405,00;1.350,00;1.405,00;1.350,00;12,66M;1,81%
27/11/2019;1.385,00;1.380,00;1.395,00;1.365,00;10,03M;-1,42%
28/11/2019;1.395,00;1.390,00;1.420,00;1.390,00;1,31M;0,72%
29/11/2019;1.415,00;1.395,00;1.415,00;1.390,00;3,68M;1,43%
2/12/2019;1.405,00;1.405,00;1.405,00;1.400,00;2,55M;-0,71%
3/12/2019;1.415,00;1.405,00;1.415,00;1.400,00;1,26M;0,71%
4/12/2019;1.420,00;1.405,00;1.430,00;1.405,00;3,87M;0,35%
5/12/2019;1.420,00;1.410,00;1.420,00;1.410,00;4,51M;0,00%
6/12/2019;1.415,00;1.415,00;1.420,00;1.410,00;36,62M;-0,35%
9/12/2019;1.415,00;1.415,00;1.420,00;1.415,00;2,54M;0,00%
10/12/2019;1.410,00;1.415,00;1.425,00;1.410,00;15,79M;-0,35%
11/12/2019;1.420,00;1.410,00;1.420,00;1.410,00;17,13M;0,71%
12/12/2019;1.425,00;1.415,00;1.425,00;1.415,00;7,06M;0,35%
13/12/2019;1.420,00;1.420,00;1.435,00;1.420,00;6,45M;-0,35%
